turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1402, 22.51811706175072,20.679478765229586,22.51811706175072,1544.1525,0.49999988,24.615317104857688,Last,Overtaking,non, True
1403, 22.55745841453944,20.716946720266463,22.55745841453944,1545.2776,0.49999988,24.52768692570596,Last,Overtaking,non, True
1404, 22.543833773834635,20.70397087197617,22.543833773834635,1546.4032,0.49999988,24.43994731552555,Last,Overtaking,non, True
1405, 22.485547226314544,20.64845987433799,22.485547226314544,1547.5264,0.49999988,24.35282489634693,Last,Overtaking,non, True
1406, 22.503463498923594,20.665522991108514,22.503463498923594,1548.6499,0.49999988,24.265595234760198,Last,Overtaking,non, True
1407, 22.540772112264385,20.70105500381403,22.540772112264385,1549.7739,0.49999988,24.178258330765352,Last,Overtaking,non, True
1408, 22.525647237680555,20.686650361353237,22.525647237680555,1550.8983,0.49999988,24.090814184362394,Last,Overtaking,non, True
1409, 22.53940578954267,20.69975374407906,22.53940578954267,1552.0232,0.49999988,24.003262795551322,Last,Overtaking,non, True
1410, 22.492972009502353,20.655531096421615,22.492972009502353,1553.1455,0.49999988,23.916324220500897,Last,Overtaking,non, True
1411, 22.493966115852487,20.656477864374125,22.493966115852487,1554.2683,0.49999988,23.829280591662933,Last,Overtaking,non, True
1412, 22.496379608522624,20.658776428821874,22.496379608522624,1555.3915,0.49999988,23.742129720416855,Last,Overtaking,non, True
1413, 22.553146956449364,20.712840569704486,22.553146956449364,1556.5151,0.49999988,23.65487160676266,Last,Overtaking,non, True
1414, 22.566607543023142,20.725660175965228,22.566607543023142,1557.6393,0.49999988,23.567506250700358,Last,Overtaking,non, True
1415, 22.530209927878122,20.690995780589017,22.530209927878122,1558.7638,0.49999988,23.48003365222994,Last,Overtaking,non, True
1416, 22.558897703989135,20.718317472123314,22.558897703989135,1559.8888,0.49999988,23.392449434110265,Last,Overtaking,non, True
1417, 22.52346109638599,20.684568322025083,22.52346109638599,1561.0142,0.49999988,23.304762350823623,Last,Overtaking,non, True
1418, 22.594078473811415,20.75182296719215,22.594078473811415,1562.14,0.49999988,23.216965836508294,Last,Overtaking,non, True
1419, 22.582564089658618,20.740856887046633,22.582564089658618,1563.2662,0.49999988,23.129062079784852,Last,Overtaking,non, True
1420, 22.622223811988054,20.778628051169903,22.622223811988054,1564.393,0.49999988,23.041051080653293,Last,Overtaking,non, True
1421, 22.58563131827639,20.743778057158796,22.58563131827639,1565.5201,0.49999988,22.95293065049305,Last,Overtaking,non, True
1422, 22.519533500141915,20.68082775417358,22.519533500141915,1566.6448,0.49999988,22.865429599955178,Last,Overtaking,non, True
1423, 22.56452420773158,20.72367604711612,22.56452420773158,1567.7699,0.49999988,22.777819118388617,Last,Overtaking,non, True
1424, 22.58085428474985,20.739228501419234,22.58085428474985,1568.8954,0.49999988,22.69010139441394,Last,Overtaking,non, True
1425, 22.544591462756262,20.70469248047296,22.544591462756262,1570.0214,0.49999988,22.602278616651727,Last,Overtaking,non, True
1426, 22.591781053984,20.749634948308902,22.591781053984,1571.1477,0.49999988,22.51434421924025,Last,Overtaking,non, True
1427, 22.5341775310128,20.69477445024109,22.5341775310128,1572.2745,0.49999988,22.426304768041238,Last,Overtaking,non, True
1428, 22.50524387754035,20.66721858979114,22.50524387754035,1573.3989,0.49999988,22.338880319223442,Last,Overtaking,non, True
1429, 22.596473501171133,20.75410394562998,22.596473501171133,1574.5237,0.49999988,22.25135081661811,Last,Overtaking,non, True
1430, 22.544893783618825,20.70498040510397,22.544893783618825,1575.6489,0.49999988,22.16371188298409,Last,Overtaking,non, True
1431, 22.584727194950922,20.742916987325017,22.584727194950922,1576.7745,0.49999988,22.075965706941954,Last,Overtaking,non, True
1432, 22.622659946228435,20.779043417113122,22.622659946228435,1577.9006,0.49999988,21.98811228849171,Last,Overtaking,non, True
1433, 22.552127899614295,20.71187003938537,22.552127899614295,1579.0271,0.49999988,21.90015162763335,Last,Overtaking,non, True
1434, 22.528591960558487,20.68945485933222,22.528591960558487,1580.1511,0.49999988,21.81280596915621,Last,Overtaking,non, True
1435, 22.55838584069929,20.717829983275845,22.55838584069929,1581.2755,0.49999988,21.72535525689153,Last,Overtaking,non, True
1436, 22.553523428116748,20.713199114149614,22.553523428116748,1582.4004,0.49999988,21.637795113598163,Last,Overtaking,non, True
